DO_YOU_WANT_TO_REMOVE_ITEM	Vuoi rimuovere %s?
TOOLTIP_ANTI_PENETRATE_PCT	Resistenza contro i colpi trafiggenti +%d%%	SA
TOOLTIP_ANTI_SELL	Non può essere venduto nel negozio.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Tasso di assorbimento: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Forte contro Animali +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Forte contro Ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Forte contro Diavolo +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Forte contro Mezziuomini +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Forte contro Esoterici +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Forte contro mostri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Forte contro Orchi +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Forte contro Shamane +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Forte contro Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Forte contro Zombie +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Forte contro Guerrieri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Forte contro lican + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Attacco sanguinante + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistenza contro l'attacco sanguinante + %d%%	SA
TOOLTIP_APPLY_BLOCK	Possibilità blocco attacco corporale %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Rigenerare in battaglia %d MP ogni 5 Sec.	SA
TOOLTIP_APPLY_CRITICAL_PCT	+ %d%% di possibilità nei colpi critici	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% di possibilità di mantenere MP nei colpi	SA
TOOLTIP_APPLY_DODGE	%d%% di possibilità di schivare frecce	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% di possibilità sul EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% di possibilità di lasciar cadere Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immune contro caduta	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Difesa contro rallentamento	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Difesa contro svenimento	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% di possibilità di far cadere il doppio degli oggetti	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% di possibilità di rigenerare HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% di possibilità di rigenerare MP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% di possibilità prendere MP dell'avversario	SA
TOOLTIP_APPLY_MAX_HP_PCT	HP max. +%d%% 	SA
TOOLTIP_APPLY_MAX_SP_PCT	MP max. +%d%% 	SA
TOOLTIP_APPLY_NOAFFECT	Nessun effetto
TOOLTIP_APPLY_NO_DEATH_PENALTY	Facendo rinascere il personaggio sul luogo della sua morte non perderà punti esperienza.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% di possibilità su colpi che trafiggono	SA
TOOLTIP_APPLY_POISON_PCT	Possibilità di avvelenamento: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistenza avvelenamento %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Pozione %d%% aumento dell'effetto	SA
TOOLTIP_APPLY_REFLECT_CURSE	Possibilità di riflettere maledizione: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Possibilità di riflettere un attacco corporale: %d%%	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Possibilità di difesa dai ninja %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Difesa campana %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Possibilità di difesa dagli artigli + %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Difesa pugnale %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Difesa ventaglio %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Possibilità di difesa dagli shamani %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Possibilità di difesa dai sura %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Difesa spada %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Difesa spadone %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Possibilità di difesa dai guerrieri %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Resistenza vento %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Possibilità di difesa dai lican %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Possibilità di imparare dai libri migliorata di fattore 2,5.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Se l'apprendimento fallisce, hai a disposizione subito un altro tentativo.	SNA
TOOLTIP_APPLY_SLOW_PCT	Possibilità di rallentamento: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% di danni assorbiti da HP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% di danni assorbiti da MP.	SA
TOOLTIP_APPLY_STUN_PCT	Possibilità di svenimento: %d%%	SA
TOOLTIP_ARMOR	Armatura
TOOLTIP_ARROW	Freccia
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valore d'attacco +%d	SA
TOOLTIP_ATT_SPEED	Velocità d'attacco +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Velocità di attacco ridotta	SNA
TOOLTIP_AUTO_POTION_HP	Elisir del Sole
TOOLTIP_AUTO_POTION_REST	Quantità rimasta: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elisir della Luna
TOOLTIP_AUTO_POTION_USING	Attivo
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Autocaccia	SNA
TOOLTIP_BATTLE_POTION	Pozione da battaglia per la zona di combattimento	SNA
TOOLTIP_BOW_DISTANCE	Raggio d'azione dell'arco +%dm	SA
TOOLTIP_BUYPRICE	Prezzo: %s
TOOLTIP_CAST_SPEED	Velocità della magia +%d%%	SA
TOOLTIP_CON	Vitalità  +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costume %d%% 	SA
TOOLTIP_DEF_GRADE	Difesa +%d	SA
TOOLTIP_DEX	Destrezza +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Terra	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Cielo	SNA
TOOLTIP_EAR	Orecchino
TOOLTIP_ENERGY	Energia %d	SA
TOOLTIP_ETC	Ecc.
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Punti: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Livello: %d
TOOLTIP_FISHINGROD_UPGRADE1	Consegnare al pescatore
TOOLTIP_FISHINGROD_UPGRADE2	per ottenere una migliore
TOOLTIP_FISHINGROD_UPGRADE3	canna da pesca
TOOLTIP_FISH_LEN	Lunghezza: %.2fcm
TOOLTIP_GUILD_SKILL_ACCEL	Accelerazione +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Benedizione del Dio Drago +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Sangue del Dio Drago +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Rabbia del Dio Drago +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Aiuto della magia +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Armatura benedetta +%d	SA
TOOLTIP_HELMET	Elmo
TOOLTIP_HP_REGEN	Rigenerazione HP +%d%%	SA
TOOLTIP_INT	Intelligenza +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valore d'attacco %d
TOOLTIP_ITEM_ATT_POWER	Valore d'attacco %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valore d'attacco %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valore d'attacco %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Velocità d'attacco %s
TOOLTIP_ITEM_DEF_GRADE	Difesa %d
TOOLTIP_ITEM_FAST	Veloce
TOOLTIP_ITEM_LIMIT_CON	Valore massimo vitalità: %d
TOOLTIP_ITEM_LIMIT_DEX	Valore massimo destrezza: %d
TOOLTIP_ITEM_LIMIT_INT	Valore massimo intelligenza: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Da liv: %d
TOOLTIP_ITEM_LIMIT_STR	Valore massimo forza: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valore attacco magico %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valore attacco magico %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Difesa magica %d
TOOLTIP_ITEM_NORMAL	Normale
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Molto veloce
TOOLTIP_ITEM_VERY_SLOW	Molto lento
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipaggiabile ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Numero fortuna: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Attacco magico +%d%% 	SA
TOOLTIP_MAGIC_ATT_GRADE	Valore d'attacco magico +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Difesa magica +%d	SA
TOOLTIP_MALL_ATTBONUS	Valore d'attacco +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valore d'attacco	SNA
TOOLTIP_MALL_AUTOLOOT	Drop di Yang vengono raccolti automaticamete.	SNA
TOOLTIP_MALL_DEFBONUS	Difesa +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Difesa 	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% in più EXP	SNA
TOOLTIP_MALL_FISH_MIND	La possibilità di catturare un pesce è aumentata.	SNA
TOOLTIP_MALL_GOLDBONUS	Possibilità di drop di Yang (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Doppia possibilità di drop di Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Possibilità di drop di oggetti (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Possibilità sul razziare oggetti più %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Doppia possibilità di drop di oggetti	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Punti amore aumentano più veocemente.	SNA
TOOLTIP_MALL_SAFEBOX	Più spazio a disposizione nel magazzino.	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. MP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. resistenza +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Attacco/magico Attacco/corpo a corpo +%d%% 	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-ERRORE(%d, %d)
TOOLTIP_MOV_SPEED	Velocità movimento %d%%	SA
TOOLTIP_NECK	Collana
TOOLTIP_NEED_ALL_SP	MP necessari: Max.
TOOLTIP_NEED_GSP	Spirito del drago necessario: %d
TOOLTIP_NEED_HP	HP necessari: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Punti abilità necessari:
TOOLTIP_NEED_SP	MP necessari: %d
TOOLTIP_NEED_SP_PER_SEC	MP / Sec.:%d
TOOLTIP_NEXT_SKILL_LEVEL_1	Prossimo livello: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Prossimo livello: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Danni medi %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistenza ai danni media %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Più di %d membri del gruppo
TOOLTIP_PARTY_INFO_GRADE_UP2	Grado d'attacco +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Grado di difesa +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Ripristinare una volta in 60 minuti gli HP/MP di tutti i membri del gruppo.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Ripristinare una volta in 30 minuti gli HP/MP di tutti i membri del gruppo.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Devi aspettare 3 minuti dopo la morte del membro del gruppo.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Puoi richiamare in ogni momento i membri del gruppo che sono sul server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Grado d'attacco +(Numero dei membri/2) %d attaccanti possono essere scelti.
TOOLTIP_PARTY_INFO_SET_TANKER	Grado di difesa +(Numero dei membri del gruppo).  Può essere scelto lottatore corpo a corpo 1.
TOOLTIP_PARTY_SKILL_LEVEL	Livello attuale: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Attacco/Difesa migliorata]
TOOLTIP_PARTY_TITLE_HEAL	[Ripristina]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Per più di %d membri del gruppo c'è un Bonus EXP %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Richiama]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[scegli attaccante]
TOOLTIP_PARTY_TITLE_SET_TANKER	[annota lottatore corpo a corpo]
TOOLTIP_PEPSI_EVENT	
TOOLTIP_PICK_EXP	Punti: %d / %d
TOOLTIP_PICK_LEVEL	Livello: %d
TOOLTIP_PICK_UPGRADE1	Consegnalo al boscaiolo
TOOLTIP_PICK_UPGRADE2	per ottenere
TOOLTIP_PICK_UPGRADE3	un piccone migliore.
TOOLTIP_POTION_CURE	Annullare effetto negativo.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Velocità d'attacco: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Velocità di movimento: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durata:
TOOLTIP_REQUIREMENT_21_LEVEL	Devi aver raggiunto livello 21
TOOLTIP_REQUIREMENT_41_LEVEL	Devi aver raggiunto livello 41
TOOLTIP_REQUIREMENT_LEVEL	Devi aver raggiunto livello %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Livello %d necessario
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necessario
TOOLTIP_RESIST_BOW	Resistenza freccia %d%%	SA
TOOLTIP_RESIST_DARK	Resistenza contro l'oscurità +%d%% 	SA
TOOLTIP_RESIST_EARTH	Resistenza terra +%d%%	SA
TOOLTIP_RESIST_ELEC	Resistenza lampo %d%%	SA
TOOLTIP_RESIST_FIRE	Resistenza fuoco %d%%	SA
TOOLTIP_RESIST_ICE	Resistenza ghiaccio +%d%%	SA
TOOLTIP_RESIST_MAGIC	Resistenza magia %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Anti-magia del seguente valore: %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Rimane: %d
TOOLTIP_SEALED	Legato all'anima
TOOLTIP_SELLPRICE	Prezzo %s
TOOLTIP_SET_ITEM	Bonus del Set	SNA
TOOLTIP_SHAMAN	Shamana
TOOLTIP_SHIELD	Scudo
TOOLTIP_SHOES	Scarpe
TOOLTIP_SKILL	Abilità	SNA
TOOLTIP_SKILLBOOK_NAME	Libro dell'abilità
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valore d'attacco: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valore d'attacco:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Velocità d'attacco: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Difesa:
TOOLTIP_SKILL_AFFECT_DODGE	Valore d'attacco avversario: -
TOOLTIP_SKILL_AFFECT_HEAL	ripristinare HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Velocità di movimento: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Possibilità di riflettere un attacco corporale:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistenza ai danni corporali:
TOOLTIP_SKILL_COOL_TIME	Tempo di ricarica: 
TOOLTIP_SKILL_DAMAGE_BONUS	Danni abilità %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Resistenza contro i danni abilità %d%%	SA
TOOLTIP_SKILL_DURATION	Durata: %d Sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Libro dell'amnesia
TOOLTIP_SKILL_LEVEL	Livello attuale: %d
TOOLTIP_SKILL_LEVEL_MASTER	Livello attuale: %d (Maestro)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Livello attuale: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Vuoto
TOOLTIP_SOCKET_REFINABLE_ITEM	[Oggetto con montatura]
TOOLTIP_SP_REGEN	Rigenerazione MP +%d%%	SA
TOOLTIP_STR	Forza +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Tempo di ricarica %d sec. 	SA
TOOLTIP_TIME_CHARGER_PER	Tempo di ricarica %d%% 	SA
TOOLTIP_UNIQUE	Unico
TOOLTIP_UNSEAL_LEFT_TIME	Slegamento dall'anima tra: %dH %dM
TOOLTIP_WARRIOR	Guerriero
TOOLTIP_WEAPON	Arma
TOOLTIP_WOLFMAN	Lican
TOOLTIP_WRISTLET	Bracciale
UI_ACCEPT	Accetta
UI_CANCEL	Interrompi
UI_CLOSE	Chiudi
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Rifiuta
UI_ITEM	Oggetto
UI_LEFT_TIME	Tempo rimanente: %d sec.
UI_NEXT	Avanti
UI_NEXTPAGE	Continua
UI_NOCONTENTS	Nessun contenuto
UI_NONAME	Nessun nome
UI_OK	Ok
UI_POS_UNKNOWN	Luogo sconosciuto
UI_PREVPAGE	Indietro
UI_UNKNOWN	Sconosciuto
UPLOAD_MARK_CHECK_NEED_RECONNECT	Rifai l'upload
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Rifai l'upload
USE_ITEM_FAILURE_PRIVATE_SHOP	Non puoi usare degli oggetti se hai un negozio privato aperto.
USE_SKILL_ERROR_UNKNOWN	Errore abilità sconosciuto: %s
